song_title,lyrics
never ending story,"Armies have conquered. And fallen in the end. Kingdoms have risen. Then buried by sand. The Earth is our mother. She gives and she takes. She puts us to sleep and. In her light we'll awake. We'll all be forgotten. There's no endless fame. But everything we do. Is never in vain. We're part of a story, part of a tale. We're all on this journey. No one still stay. Where is it going. What is the way?. Forests and deserts. Rivers, blue seas. Mountains and valleys. Nothing here stays. While we think we witness. We are part of the scene. This never-ending story. Where will it lead to?. The earth is our mother. She gives and she takes. But she is also a part. A part of the tale. We're part of a story, part of a tale. We're all on this journey. No one still stay. Where is it going. What is the way?. We're part of a story, part of a tale. Sometimes beautiful and sometimes insane. No one remembers how it began. We're part of a story, part of a tale. We're all on this journey. No one still stay. Where is it going. What is the way?. We're part of a story, part of a tale. Sometimes beautiful and sometimes insane. No one remembers how it began"
only you,"It's The Fear. It waits for the day I will let it out.. To give it a reason, to give its might.. I fear who I am becoming,. I feel that I am losing the struggle within.. I can no longer restrain it,. my strength it is fading,. I have to give in.. Chorus:. It's the fear. Fear of the dark. It's growing inside of me,. that one day will come to life.. Have to save. To save my beloved,. there is no escape,. because my faith is horror and doom.. Hold down your head now,. just let me pass by.. Don't feed my fear,. if you don't want it out.. I fear who I am becoming,. I feel that I am losing all beauty within.. I can no longer restrain it,. my strength is fading.. I have to give in.. Repeat chorus. Long ago it came to me. and ever since that day,. infected with its rage. but it ends today.. Repeat chorus"
our farewell,"In my hands. A legacy of memories. I can hear you say my name. I can almost see your smile. Feel the warmth of your embrace. But there is nothing but silence now. Around the one I loved. Is this our farewell?. Sweet darling you worry too much, my child. See the sadness in your eyes. You are not alone in life. Although you might think that you are. Never thought. This day would come so soon. We had no time to say goodbye. How can the world just carry on?. I feel so lost when you are not at my side. But there's nothing but silence now. Around the one I loved. Is this our farewell?. Sweet darling you worry too much, my child. See the sadness in your eyes. You are not alone in life. Although you might think that you are. So sorry your world is tumbling down. I will watch you through these nights. Rest your head and go to sleep. Because my child, this not our farewell. This is not our farewell"
our solemn hour,"Sanctus Espiritus redeem us from our solemn hour. Sanctus Espiritus insanity is all around us. Sanctus Espiritus! Sanctus Espiritus! Sanctus Espiritus!. In my darkest hours I could not foresee. That the tide could turn so fast to this degree. Can't believe my eyes. How can you be so blind?. Is the heart of stone, no empathy inside?. Time keeps on slipping away and we haven't learned. So in the end now what have we gained?. Sanctus Espiritus, redeem us from our solemn hour. Sanctus Espiritus, insanity is all around us. Sanctus Espiritus, is this what we deserve,. can we break free from chains of never-ending agony?. Are they themselves to blame, the misery, the pain?. Didn't we let go, allowed it, let it grow?. If we can't restrain the beast which dwells inside. it will find it's way somehow, somewhere in time. Will we remember all of the suffering. Cause if we fail it will be in vain. Sanctus Espiritus, redeem us from our solemn hour. Sanctus Espiritus, insanity is all around us. Sanctus Espiritus, is this what we deserve,. can we break free from chains of never-ending agony?"
overcome,"Where are the heroes. I my time of need. Is my crying abandoned?. Or have they gone. Oh no. They just tend to stand. Out of the rain. Thinking but not acting. That they're not to blame. Falling and crawling. A fight to stand up. Memory still haunts me. In the dead of night. Over and over. I felt so small. But one day I'll be stronger. And you better watch out. I will overcome. In violence there's silence. Oh no,. It can't be undone. I will overcome. Knowing that I'm not the only one. I will overcome. It's the only way to carry on. Where are the saviours. Afraid of the toll. Sorry do my nine inch nails. Slash your soul?. Such heroes. Throwing stones. Straight at the one. Who is standing alone?. Twisting and turning. It's always the same. The truth is never honest. When you're to blame. Pushing and pulling. Never give in. One day I wish. You see you're not so beautiful within. I will overcome. In violence there's silence. Oh no,. It can't be undone. I will overcome. Knowing that I'm not the only one. I will overcome. It's the only way to carry on. Run and run. Run and run. I will overcome. In violence there's silence. Oh no,. It can't be undone. I will overcome. Knowing that I'm not the only one. I will overcome. It's the only way to carry on"
pale,"The world seems not the same. Though I know nothing has changed. It's all my state of mind. I can't leave it all behind. Have to stand up to be stronger. Have to try. To break free. From the thoughts in my mind. Use the time that I have. I can say goodbye. Have to make it right. Have to find. Cause I know in the end it's worth while. That the pain that I feel slowly fades away. It will be all right. I know. I should realize. Time is precious. It is worth while. Despite how I feel inside. Have to trust it all be alright. Have to stand up to be stronger. Have to try. To break free. From the thoughts in my mind. Use the time that I have. I can say goodbye. Have to make it right. This night is too long. Have no strength to go on. No more pain I'm falling away. Through the mist see the face. Of an angel, calls my name. I remember you're the reason I have to stay. Have to try. To break free. From the thoughts in my mind. Use the time that I have. I can say goodbye. Have to make it right"
pearls of light,"After. The cold darkness,. In the heart of the forest.. Where birds are singing,. For the new born sun. In the womb of the leaves,. On the branches of the trees,. Lies the treasure of the morning,. The pearls of light.. Carried away by thee truculence of my world,. I got lost in the surch for enlightment,. The blue ran,. Covered my roots and I forgot where I came from.. Carried away by thee truculence of my world,. I got lost in the search for enlightment,. The blue rain,. Covered my roots and I forgot where I came from"
perfect hormony,"In a world so far away. At the end of a closing day. A little child was bornd and raised. Deep in a forest on a hiddend place. Mother never saw his face. Ancient spirits of the forest. Made his king of elves and trees. He was the only human beinig. Who lived in hormony. In perfect hormony. The woods protected, fulfilled his needs. he found shelter onder trees. He grew up in their compony. They became his family. A thousand seasons. They passed him by. So many time, have said goodbye. And wen the spirits called out his name. to join forever, forever to stay. A forest spirit he became"
raise your banner,"Blood for freedom. You're pushing me into the corner. Don't fight with me, don't fight with me, don't fight with me. I'm crowning no man for his armour or rhapsody. For what I see and what I feel. Wake up. I'm defying you, seeing right through you. Once I believed in you. Wake up. Feel what's coming deep within we all know. Blood for freedom. So raise your banner, fight your war. Break the silence, no remorse. Won't die within. Blood for freedom. Raise your banner, won't you come. Fight the venom, the good die young. Won't die within. I'm feeling the eyes of the fallen, they’re watching me. They make me see, they make me see. I'm feeling the pain how you break them and make them bleed. You make them bleed, you make them bleed. Wake up. I'm defying you, seeing right through you. Once I believed in you. Wake up. Feel what's coming deep within we all know. The way that you torment me. The way that you challenge me. The way that you make me bleed. Blood for freedom. So raise your banner, fight your war. Break the silence, no remorse. Won't die within. Blood for freedom. Raise your banner, won't you come. Fight the venom, the good die young. Won't die within. So raise your banner, fight your war. Break the silence, no remorse. Won't die within. Blood for freedom. Raise your banner, won't you come. Fight the venom, the good die young. Won't die within. When gods are failing. They put all heaven in a rage. We're on our own. Our tears keep falling. They're setting fire to the flame. Blood for freedom"
restless,"She embraced, with a smile. As she opened the door.. A cold wind blows, it put's a chill into her heart.. You have taken away the trust,. You're the ghost haunting through her heart.. Past and present are one in her head,. You're the ghost haunting through her heart.. Take my hand as I wonder through,. All my life I gave to you.. Take my hand as I wonder through,. All my love I gave to you.. You have taken away the trust,. You're the ghost haunting through her heart.. Past and present are one in her head,. You're the ghost haunting through her heart.. Take my hand as I wonder through,. All my life I gave to you.. Take my hand as I wonder through,. All my love I gave to you."
run,"we can be friends. of course we can. sorry did my nine inch nails cut your soul?. such a hero throwing stones. to the whole one that really stands here all alone. crawling and crawling. can't get up. all these years of silence but I won't give up. see you suffer, holding me down. one day I will be somebody. better watch out. I will overcome. in violence your silence can never be undone. I will overcome. knowing that I'm not the only one. I will overcome. maybe in the second run. we can be friends. of course we can. sorry did my nine inch nails cut your soul?. such a hero throwing stones. to the whole one that really stands here all alone. crawling and crawling. can't get up. all these years of silence but I won't give up. see you suffer, holding me down. one day I will be somebody. you better watch out. I will overcome. in violence your silence can never be undone. I will overcome. knowing that I'm not the only one. I will overcome. maybe in the second run. run and run. run and run. I will overcome. in silence your violence can never be undone. I will overcome. knowing that I'm not the only one. I will overcome. maybe in the second run"
running up that hill,"It doesn't hurt me.. Do you want to feel how it feels?. Do you want to know that it doesn't hurt me?. Do you want to hear about the deal that I'm making?. It's you and me.. And if I only could,. I'd make a deal with God,. And I'd get him to swap our places,. Be running up that road,. Be running up that hill,. Be running up that building.. So if I only could.... You don't want to hurt me,. But see how deep the bullet lies.. Unaware I'm tearing you asunder.. Oh, there is thunder in our hearts.. Is there so much hate for the ones we love?. Oh tell me, we both matter, don't we?. It's you, it's you and me.. It's you and me won't be unhappy.. And if I only could,. I'd make a deal with God,. And I'd get him to swap our places,. Be running up that road,. Be running up that hill,. Be running up that building,. Say, if I only could, oh.... You,. It's you and me,. It's you and me won't be unhappy.. ""Come on, baby, come on darling,. Let me steal this moment from you now.. Come on, angel, come on, come on, darling,. Let's exchange the experience, oh..."". And if I only could,. I'd make a deal with God,. And I'd get him to swap our places,. Be running up that road,. Be running up that hill,. With no problems.. And if I only could,. I'd make a deal with God,. And I'd get him to swap our places,. Be running up that road,. Be running up that hill,. With no problems.. And if I only could,. I'd make a deal with God,. And I'd get him to swap our places,. Be running up that road,. Be running up that hill,. With no problems.. If I only could. Be running up that hill. With no problems..."
say my name,Say my name. So I will know you're back. You're here again for a while. Oh let us share. The memories that only we can share. Together. Tell me about. The days before I was born. How we were as children. You touch my hand. This colours come alive. In your heart and in your mind. I cross the borders of time. Leaving today behind to be with you again. We breath the air. Do you remember how you used to touch my hand. You're not aware. Your hands keep still. You just don't know that I am here. It hurts too much. A pray now that soon you release. To where you belong. You touch my hand. this colours come alive. In your heart and in your mind. I cross the borders of time. Leaving today behind to be with you again. Please say my name. Remember who I am. You will find me in the world of yesterday. You drift away again. So far from where I am. When you ask me who I am. Say my name. This colours come alive. In your heart and in your mind. I cross the borders of time. Leaving today behind to be with you again. Say my name
see who i am,"Is it true what they say,. are we too blind to find a way?. Fear of the unknown. clouds our hearts today.. Come into my world,. see trough my eyes.. Try to understand,. don't want to lose what we have.. We've been dreaming. but who can deny,. it's the best way of living. between the truth and the lies.. See who I am,. break through the surface.. Reach for my hand,. let's show them that we can. free our minds. and find a way.. The world is in our hands,. this is not the end.. Fear is whithering the soul. at the point of no return.. we must be the change. we wish to see.. I'll come into your world,. see trough your eyes.. I'll try to understand,. before we lose what we have.. We just can't stop believing. because we have to try.. We can rise above. their truth and their lies.. See who I am,. break through the surface.. Reach for my hand,. let's show them that we can. free our minds. and find a way.. The world is in our hands,. this is not the end.. I hear their silence. preaching my blame.. Will our strength remain. if their power reigns?. See who I am,. break through the surface.. Reach for my hand,. let's show them that we can. free our minds. and find a way.. The world is in our hands,. this is not the end."
shot in the dark,"I've been left out alone like a damn criminal. I've been praying for help cause I can't take it all. I'm not done. It's not over. Now I'm fighting this war since the day of the fall. And I'm desperately holding on to it all. But I'm lost. I'm so damn lost. Oh I wish it was over,. And I wish you were here. Still I'm hoping that somehow. 'Cause your soul is on fire. A shot in the dark,. What did they aim for. When they missed your heart. I breathe underwater. It's all in my hands. What can I do. Don't let it fall apart. A shot in the dark. In the blink of an eye. I can see through your eyes. As I'm lying awake I'm still hearing the cries. And it hurts. Hurts me so bad. And I'm wondering why I still fight in this life. 'Cause I've lost all my faith in this damn bitter strife. And it's sad. It's so damn sad. Oh I wish it was over. And I wish you were here. Still I'm hoping that somehow. 'Cause your soul is on fire. A shot in the dark. What did they aim for. When they missed your heart. I breathe underwater. It's all in my hands. What can I do. Don't let it fall apart. A shot in the dark. A shot in the dark. A shot in the dark. A shot in the dark. A shot in the dark. I feel you fading away. I feel you fading away. I feel you fading away. I feel you fading away. 'Cause your soul is on fire. A shot in the dark. What did they aim for. When they missed your heart. I breathe underwater. It's all in my hands. What can I do. Don't let it fall apart. Oh, your soul is on fire. A shot in the dark,. What did they aim for. When they missed your heart. I breathe underwater. It's all in my hands. What can I do. Don't let it fall apart. A shot in the dark. A shot in the dark. A shot in the dark. A shot in the dark. A shot in the dark"
sinead,"I've gotta try. It's not over yet. No signals of love. Have you left. My heart is bleeding just for you. Bleeds for only you. And it hurts to know the truth. Are you looking for saviours. Chasing a dream. Love turned to hate. Now I'm crossing the border. See then I fade. But I'm not afraid. Oh Sinéad,. For the first time. Love is gonna turn around. I'm telling you. You will like it, I know. Oh Sinéad,. It's the first time. Only you can set it free. Oh Sinéad. Come break away with me. This second chance I know won't last. But it's OK. Got not regrets. And I, I feel the end here. I'm a fool. Getting closer. But I'm doing what I should. I been drowning in sorrow. Chasing tomorrow,. Running away. Now you're crossing the border. See no tomorrow. But you're not afraid. Oh Sinéad,. For the first time. Love is gonna turn around. I'm telling you. You will like it, I know. Oh Sinéad,. It's the first time. Only you can set it free. Oh Sinéad. Come break away with me. But I'm doing what I should. I've been drowning in sorrow. Chasing tomorrow,. Running away. Now you're crossing the border. See no tomorrow. But you're not afraid. Oh Sinéad,. For the first time. Love is gonna turn around. I'm telling you. You will like it. Oh Sinéad,. For the first time. Love is gonna turn around. I'm telling you. You will like it, I know. Oh Sinéad,. It's the first time. Only you can set it free. Oh Sinéad. Come break away with me."
somewhere,Lost in the darkness. Hoping for a sign. Instead there's only silence. Can't you hear my screams?. Never stop hoping. Need to know where you are. But one thing's for sure. You're always in my heart. I'll find you somewhere. I'll keep on trying. Until my dying day. I just need to know. Whatever has happened. The truth will free my soul. Lost in the darkness. Tried to find your way home. I want to embrace you. And never let you go. Almost hope you're in heaven. So no one can hurt your soul. Living in agony. Cause I just do not know. Where you are. I'll find you somewhere. I'll keep on trying. Until my dying day. I just need to know. Whatever has happened. The truth will free my soul. Wherever you are. I won't stop searching. Wherever it takes me to go. I'll find you somewhere. I'll keep on trying. Until my dying day. I just need to know. Whatever has happened. The truth will free my soul
sounds of freedom,"Your call is coming. I'm dreaming away. For what lies hidden. It needs to be found. Sounds of freedom make me wanna try. When the ghosts are found. They will lead us to tomorrow. Sounds of freedom make me wanna try. Voices forgotten. I hear them close by. Ghosts from the past i can see through their eyes. Are these the ancestors leaving me signs?. Sounds of freedom make me wanna try. When the ghosts are found. They will lead us to tomorrow. Sounds of freedom make me wanna try. The sounds, they are all around. Forces start moving out. Taking sides, though there's so much. That i need to know. And soon it will be shown. Sounds of freedom make me wanna try. When the ghosts are found. They will lead us to tomorrow. Sounds of freedom make me wanna try. When the ghosts are found,. They will lead us to tomorrow. When the ghosts are found,. They will lead us to tomorrow. If we could restart how it was before tomorrow"
stairway to the skies,Seven seconds to the rise. Can't believe I'm still alive. And heaven was waiting for me. I thought this would be the end. But I know you'll understand. All that is keeping me here. I dream of a stairway to the skies. My angel is coming down from heaven to take me. I reach out but then you fade away. Whenever you call for me. Know that I'm only one step behind. I sense this time I may have changed. But one this still remains. I'm torn and the hate still lingers. I slowly start to realize. We won't reunite. I still have to march on through. I dream of a stairway to the skies. My angel is coming down from heaven to take me. I reach out but then you fade away. Whenever you call for me. Know that I'm only one step behind. Is it a curse or a fortune. Have I been blinded by regret. Redemption awaits. My soul is at stake. Will I find a stairway to the skies. In the end. I dream of a stairway to the skies. My angel is coming down from heaven to take me. I reach out but then you fade away. Whenever you call for me. Know that I'm only one step behind. Know that I'm only one step behind
stand my ground,"I can see. When you stay low nothing happens. Does it feel right ?. Late at night. Things I thought I put behind me. Haunt my mind. I just know there's no escape now. Once it sets its eyes on you. But I won't run, have to stare it in the eye. Stand my ground, I won't give in. No more denying, I got to face it. Won't close my eyes and hide the truth inside. If I don't make it, someone else will stand my ground. It's all around. Getting stronger, coming closer. Into my world. I can feel. That it's time for me to face it. Can I take it?. Though this might just be the ending. Of the life I held so dear. But I won't run, there's no turning back from here. Stand my ground, I won't give in. No more denying, I got to face it. Won't close my eyes and hide the truth inside. If I don't make it, someone else will stand my ground. All I know for sure is I'm trying. I will always stand my ground. Stand my ground, I won't give in, I won't give up. No more denying, I got to face it. Won't close my eyes and hide the truth inside. If I don't make it, someone else will. Stand my ground, I won't give in. No more denying, I got to face it. Won't close my eyes and hide the truth inside. If I don't make it, someone else will stand my ground"
the cross,"Nothing's ever changed, you still turn away. You've washed your hands, you've made that all too clear. You just keep on living this lie. You refuse to see, you're denying me. the cross I bear but you don't seem to caresoms... Even Judas knew he had lied. I keep wondering why. I'm still calling your name through my tears. Why have you waited to embrace me my dear?. Cold is your silence, denying what is real. I'm still wondering why. I'm still calling your name my dear. I'm sorry if you can't stand the naked truth. All you see is how you want it to be. So you keep on living your life. Release me from this cross after all these years. Oh call my name and help me with this weight. Even though it comes far too late. I keep wondering why. I'm still calling your name through my tears. Why have you waited to embrace me my dear. Cold is your silence, denying what is real. I'm still wondering why I'm still calling your name. and I wonder, oh I wonder .... In my heart I still hope you will open the door. You can purify it all, answer my call. Why? Why?. Why have you waited to embrace me my dear?. Cold is your silence, denying what is real. I'm still wondering why I'm still calling your name. and I wonder, oh I wonder .... In my heart I still hope you will open the door. You can purify it all, answer my call"
the dance,"Someone is dancing on my grave. Sending shivers down my spine. I hear a laugh, it awoke my soul. The wind takes the leaves. where he wants them to go. His tunes enchant our world,. Our thoughts and leave us frozen. In this heart of mine. It's you I find. Take my hand. I'll take you to the promised land. You're the one. I hear a laugh, it awoke my soul. The wind takes the leaves. where he wants them to go. His tunes enchant our world,. Our thoughts and leave us frozen. In this heart of mine. It's you I find. Take my hand. I'll take you to the promised land. You're the one. Nevil, whatever you have done,. These tears will fade. Nevil, where ever have you gone,. Please have faith"
the gatekeeper,"The shadows of the night,. are unleashed again.. Where their greed begins. the end is near.. A morbid hunger for blood,. lies in their cold black eyes. They've come to take our lifes away.. One by one they died.. A massacre that took all night. They had no chance, it was no fight. You can't kill what has been killed before,. They died.... With shadows on its tale.. He stepped through the portal,. locked the door and ate the key.. With his life they took their way to freedom,. and be became the final keeper of the key."
the heart of everything,"For the pain and the sorrow. Caused by my mistakes. won't repent to a mortal. whom is all to blame. Now I know I will make it. There will be a time. We'll get back our freedom. They can't break what's inside. I'll face it. 'Cause it's the heart of everything. Open up your eyes. Save yourself from fading away now. Don't let it go. Open up your eyes. See what you've become, don't sacrifice. It's truly the heart of everything. Open up your eyes. Stay with me now I'm facing. my last solemn hour. Very soon I'll embrace you. On the other side. Hear the crowd in the distance. Screaming out my faith. Now their voices are fading. I can feel no more pain. I'll face it. 'Cause it's the heart of everything. Open up your eyes. Save yourself, from fading away now. Don't let it go. Open up your eyes. See what you've become, don't sacrifice. It's truly the heart of everything. Open up your eyes. Open up your eyes. Open up your eyes. Save yourself, from fading away now. Don't let it go. Open up your eyes. See what you've become, don't sacrifice. It's truly the heart of everything"
the howling,"We've been seeing what you want,. You've got us cornered right now. Falling asleep from our vanity. May cost us our lives. I hear them getting closer. Their howls are sending. Chills down my spine. Time is running out now,. They're coming down the hills from behind. When we start killing. It's all coming down right now. From the night that we've created. I wanna be awakened somehow. I wanna be awakened right now. When we start killing. It all will be falling down. From the hell that we're in. All we are is fading away. When we start killing. We've been searching on and on. But there's no trace to be found. It's like they all have just vanished. But I know they're around. I feel them getting closer. The howls are sending. Chills down my spine. Time is running out now. They're coming down the hills from behind. When we start killing. It's all coming down right now. From the night that we've created. I wanne be awakened somehow. I wanna be awakened right now. When we start killing. It all will be falling down. From the hell that we're in. All we are is fading away. When we start killing. When we start killing!. I feel them getting closer. The howls are sending. Chills down my spine. Time is running out now. They're coming down the hills from behind. The sun is rising. The screams have gone. Too many have fallen. Few still stand tall. Is this the ending. Of what we've begun?. Will we remember. What we've done wrong?. When we start killing. It's all coming down right now. From the night that we've created. I wanne be awakened somehow. I wanne be awakened right now. When we start killing. It all will be falling down. From the hell that we're in. All we are is fading away. When we start killing. When we start killing!"
the last dance,"Yah yah yah yah yah hoh yah oh. Yah yah yah yah yah hoh oh – oh – oh – oh –oh (2x). She sent for you last night, she heard you were calling. Yearning in tears a thousand times. Her spirit was floating, the spirit was searching. On a cloud of dreams. A moonbeam shines bright in the city of Angels. Guilding the dreamers back to life. They’ill do the same every tomorrow. Till the pain subsides. Don’t be scared now. Close your eyes. She holds guard tonight. Go on forwad, no remorse. Life will take it’s course. Ye – ye – ye – ye yeah ohhhh yeah ohh. Ye – ye –ye –ye yeah ohhhh ohh (2x). She danced with you last night. So you will remember. All you have shared the life time. The angels were watching. And death will be waiting. Until the time is right. Don’t be scared now. Close your eyes. She holds God tonight. Go on forward, no remorse. Life will take it’s course. Ye – ye – ye –ye – yeah ohhhh yeah ohhh. Ye – ye – ye – ye – yeah ohhhh ohhh (2x). Hold on to memories. Still more lies ahead. Life will go on and we are one. With every step you take. Ye – ye – ye –ye – yeah ohhhh yeah ohhh. Ye – ye – ye –ye – yeah ohhhh yeah ohhh"
the last time,"For so long I've tried. Could not close my eyes. When you became an outcast in this life. Again and again I try. To understand the demons inside your head. But the truth is you love them to death. Now, I know it's. The last time I have tried. To lift you up to make you fight. Nothing is ever easy in life. I can't change it. If you don't have the will deep inside. I have been blind to how you justify. Everything that you've wasted in this life. Got lost in the illusion. I'd find a solution. For the demons in your head. But the truth is you love them to death. Now, I know it's. The last time I have tried. To lift you up to make you fight. Nothing is ever easy in life. I can't change it. If you don't have the will deep inside. You can blame and you can hide. Behind what is wrong and what is right. Life is the choices we make. I hope you'll awake before it's too late. Now, I know it's. The last time I have tried. To lift you up to make you fight. Nothing is ever easy in life. I can't change it. If you don't have the will deep inside"
the other half of me,"Over the hills, lies a new beginning. Over the hills. Over the hills, there is a way I know it. Over the hills. You can't bring all the gloom. Your heart is frayed and so empty. You glorify the future. Living in a different world than me. The journey ends in death. You are giving up so easily. You are the other half of me. Over the hills [4x]. We are drifting apart. Chilled to the marrow, cause you don't want to go. Cause we've got a different wish at heart. The amulet guides us to the other side. When I go down it's you who'll bleed. I'm not scared to die,. as long as I'm with you. You are the other half of me. Over the hills, lies a new beginning. Over the hills. Over the hills, there's a way I know it. Over the hills"
the promise,On behalf of her love. She no longer sleeps. Life had no longer meaning. Nothing to make her stay. She sold her soul away. I held you tight to me. You slipped away. You promised to return to me. And I believed. I believed. After the night he died. I wept my tears until they dried. But the pain stayed the same. I didn't want him to die all in vain. I made a promise to revenge his soul in time. I'll make them bleed down at my feet. I held you tight to me. You slipped away. You promised to return to me. And I believed. I believed. Sometimes I wonder. Could I have known about their true intentions?. As the pain stayed the same. I'm going to haunt them down all the way. I made a promise to revenge his soul in time. One by one they were surprised. I held you tight to me. You slipped away. You promised to return to me. And I believed. I believed
the swan song,"Winter has come for me, can't carry on. The chains to my life are strong,. but soon they'll be gone. I'll spread my wings one more time. Is it a dream?. All the ones I have loved calling out my name. The sun warms my face. All the days of my life, I see them passing me by. In my heart I know I can let go. In the end I will find some peace inside. New wings are growing tonight. Is it a dream?. All the ones I have loved calling out my name. The sun warms my face. All the days of my life, I see them passing me by. As I am soaring I'm one with the wind. I am longing to see you again,. it's been so long. We will be together again. Is it a dream?. All the ones I have loved calling out my name. The sun warms my face. All the days of my life, I see them passing me by"
the truth beneath the rose,"Give me strength to face the truth, the doubt within my soul. No longer I can justify the bloodshed in his name. Is it a sin to seek the truth, the truth beneath the rose?. Pray with me so I will find the gate to Heaven's door. I believed it would justify the means. It had a hold over me. Blinded to see the cruelty of the beast. It is the darker side of me. The veil of my dreams deceived all I have seen. Forgive me for what I have been. Forgive me my sins. Pray for me cause I have lost my faith in holy wars. Is paradise denied to me cause I can't take no more. Has darkness taken over me, consumed my mortal soul. All my virtues sacrificed, can Heaven be so cruel?. I believed it would justify the means. It had a hold over me. Blinded to see the cruelty of the beast. It is the darker side of me. The veil of my dreams deceived all I have seen. Forgive me for what I have been. Forgive me my sins. I'm hoping, I'm praying. I won't get lost between two worlds. For all I have seen the truth lies in between. Give me the strength to face the wrong that I have done. Now that I know the darkest side of me. How can blood be our salvation. And justify the pain that we have caused throughout the times. Will I learn what's truly sacred?. Will I redeem my soul, will truth set me free?. Blinded to see the cruelty of the beast. It is the darker side of me. The veil of my dreams deceived all I have seen. Forgive me for what I have been. Forgive me my sins"
towards the end,The turn against. The world we know. Now our destiny. Will be decided. We have to send our brothers in arms. With pain in our heart. We watch them go. Will they return?. Truth is we have no choice. We'll try to shield those we can. No better world. Let this end. Mothers cry. Our boys die. But we'll stand 'til the end
utopia feat chris jones,"The burning desire. To live and roam free. It shines in the dark. And it grows within me. You're holding my hand. But you don't understand. So where I am going. You won't be in the end. I'm dreaming in colours. Of getting the chance. Dreaming of trying. The perfect romance. In search of the door. To open your mind. In search of the cure. Of mankind. Help us we're drowning. So close up inside. Why does it rain, rain, rain. Down on Utopia?. Why does it have to kill. The idea of who we are?. Why does it rain, rain, rain. Down on Utopia?. How will the lights die down. Telling us who we are?. I'm searching for answers. Not given for free. You're hurting inside. Is there life within me?. You're holding my hand. But you don't understand. You're taking the road. All alone in the end. I'm dreaming in colours. No boundaries are there. I'm dreaming the dream. And I'll sing to share. In search of the door. To open your mind. In search of the cure. Of mankind. Help us we're drowning. So close up inside. Why does it rain, rain, rain. Down on Utopia?. Why does it have to kill. The idea of who we are?. Why does it rain, rain, rain. Down on Utopia?. How will the lights die down. Telling us who we are?. Oeh. Oehhoehoehoee. Oehhoehoehoee. Oehhoehoehoee. Why does it rain, rain, rain. Down on Utopia?. Why does it have to kill. The idea of who we are?. Why does it rain, rain, rain. Down on Utopia?. How will the lights die down. Telling us who we are?. Why does it rain?"
what have you done,"What have you done now. I know I'd better stop trying. You know that there's no denying. I won't show mercy on you now. I know I should stop believing. I know that there's no retrieving. It's over now. What have you done. What have you done now. I, I've been waiting for someone like you. But now you are slipping away. What have you done now. Why, Why does fate make us suffer. There's a curse between us. Between me and you. What have you done x4. What have you done now. What have you done x4. What have you done now. Would you mind if I killed you. Would you mind if I tried to. Cause you have turned into my worst enemy. You carry hate that I feel. It's over now. What have you done. What have you done now. I, I've been waiting for someone like you. But now you are slipping away. What have you done now. Why, Why does fate make us suffer. There's a curse between us. Between me and you. What have you done x4. What have you done now. What have you done x4. What have you done now. I will not fall. Won't let it go. We will be free. When it ends. I, I've been waiting for someone like you. But now you are slipping away. What have you done now. Why, Why does fate make us suffer. There's a curse between us. Between me and you"
where is the edge,"In the shadows it awakes the desire. But you know that you can't realize. And the pressure will just keep rising. Now the heat is on. Its too late, there is no way around it. You will see for yourself many times. In the end you will give up the fight. Its unescapable. 'Cause you're losing your mind and you sleep. In the heart of the lies. Where is the edge. Of your darkest emotions?. Why does it all survive?. Where is the light. Of your deepest devotions?. I pray that it's still alive. It's the rule that you live by and die for. Its the one thing you can't deny. Even though you don't know what the price is. It is justified. So much more that you've got left to fight for. But it still doesn't change who you are. There is no fear you'll ever give in to. You're untouchable. 'Cause you're losing your mind and you sleep. In the heart of the night. Where is the edge. Of your darkest emotions?. Why does it all survive?. Where is the light. Of your deepest devotions?. I pray that it's still alive. You can't stop yourself. Don't want to feel. Don't want to see what you've become. You can't walk away. From who you are. Never give in. Where is the edge. Of your darkest emotions?. Why does it all survive?. Where is the light. Of your deepest devotions?. I pray that it's still alive"
why not me,"Some may call it a curse. A life like mine. But others, a blessing. It’s certainly a lonely life. But a fulfilling one and the best. It’s my cross to bear. And I'll bear it gladly. Someone has to take a stand against evil. Why should it not be me?"
wish,"Wish you were here me oh my countryman. Wish you were here. I wish you were here don't you know the snow is getting colder. and I miss you like hell and I'm feeling blue (2x). I've got feelings for you babe. Do you still feel the same. From the first time I laid my eyes on you. I felt joy of living. Saw heaven in your eyes, in your eyes. Wish you were here me oh my countryman. Wish you were here. I wish you were here don't you know the show is getting colder. and I miss you like hell and I'm feeling blue. I miss your laugh, I miss your smile. I miss everything about you. Every seconds like a minute. Every minute's like a day. When you're far away. The snow is getting colder baby. Wish you were here. A battlefield of love and fear. Wish you were here. I've got feelings for you. From the first time I laid my eyes on you. Wish you were here me oh my countryman. Wish you were here. I wish you were here don't you know the snow is getting colder. and I miss you like hell and I'm feeling blue. Wish you were here. "
